"status","url","link text","redir","On page"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Cost-of-Living-Allowance/","Overseas Cost-of-Living Allowance","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Cost-of-Living-Allowance/Overseas-COLA-Rate-Lookup/","Overseas COLA Rate Lookup","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Cost-of-Living-Allowance/Overseas-COLA-Tables/","Overseas COLA Tables","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Cost-of-Living-Allowance/Overseas-COLA-Data-Collection-Surveys/","Overseas COLA Data Collection & Surveys","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Overseas-Cost-of-Living-Allowance/Overseas-COLA-Spendable-Income-Tables-Alt/","Overseas COLA Spendable Income Tables Alt","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Currency-Fluctuations-Exchange-Rates/","Currency Fluctuations & Exchange Rates","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Station-Allowance-Changes/","Station Allowance Changes","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Temporary-Lodging-Allowance/","Temporary Lodging Allowance","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Allowances/Financial-Management-Regulation-Changes/","Financial Management Regulation Changes","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Training/","Training","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
"200 no error","http://www.travel.dod.mil/Training/eLearning/","eLearning","","https://www.travel.dod.mil/Programs/DoD-Dine-Smart/"
